ug,gr,ri,iz
3.310587,1.95569,0.9815159,0.7293434
1.859663,0.769043,0.3999672,0.2741318
1.652739,0.8052731,0.3324184,0.2204151
2.049006,0.8988495,0.3416023,0.2158203
1.698252,0.7948818,0.4015408,0.2395649
2.170244,0.9461269,0.5467224,0.4744616
1.543299,0.6938019,0.3220272,0.1792755
3.664921,1.936068,-2.850242,4.287559
1.543121,0.06771755,-0.673665,1.827855
1.636093,0.8043442,0.3299274,0.2260342
1.418867,0.6408825,0.2583532,0.1736526
1.717056,0.4564075,0.1672688,0.1744013
1.617393,0.8171597,0.3599224,0.2635803
1.924408,0.8111715,0.298871,0.1685753
1.484492,0.6103849,0.2665195,0.1603899
1.831564,0.8531189,0.3789063,0.2342987
1.599324,0.4751472,0.188674,0.110795
2.051411,0.8104057,0.4537554,0.3866739
1.334913,0.6453819,0.2403202,0.1725006
0.9769678,0.5819702,-1.145123,1.711968
2.147329,0.9702692,0.4031391,0.3549175
1.420893,0.564805,0.2238636,0.1327524
1.978956,0.9262714,0.3569803,0.2311859
1.768652,0.7121868,0.3766842,0.3288116
1.681974,0.7571611,0.3078756,0.1961966
1.507298,0.500246,0.2004042,0.1275663
1.882799,0.90205,0.3688965,0.2978077
1.59861,0.7347851,0.3166046,0.2087355
1.650471,0.754797,0.3788633,0.3688221
1.782473,0.8755722,0.4742994,0.3865376
1.897871,0.9170914,0.3911552,0.2858353
1.688406,0.788147,0.3597488,0.2442513
1.678259,0.8214369,0.3638039,0.1955862
1.292872,0.5365944,0.2554045,0.2020397
1.66928,0.318841,0.1101837,0.09179211
1.474355,0.5879583,0.3080082,0.3049459
1.542707,0.7220764,0.3007879,0.1623869
1.942522,0.9469051,0.5266972,0.4783163
1.735523,0.6964569,0.246212,0.1351013
1.739559,0.7935982,0.3371162,0.223238
1.585567,0.7681255,0.3533401,0.1886768
1.634947,0.3202782,0.1281242,0.06031513
1.763126,0.8732376,0.388216,0.2610855
1.710381,0.8844242,0.4126129,0.2703896
1.71172,0.573822,0.2606258,0.3136044
1.546894,0.6373558,0.297718,0.1789379
2.207417,1.047438,0.4308882,0.2928724
-0.1531963,0.1733789,0.1408234,1.590576
1.507721,0.6657085,0.2946358,0.1648922
1.455206,0.5750122,0.2540321,0.1414347
6.220502,0.4373446,1.699376,-0.683176
1.681171,-0.2328072,0.09215832,0.9391356
1.573732,0.6866493,0.3108912,0.1466208
1.739012,0.8016949,0.351799,0.2054749
1.657812,0.7648048,0.3156471,0.1949635
2.457548,1.064939,0.3417692,0.2694283
1.46042,0.6112452,0.2428226,0.128624
1.749699,0.7945557,0.362711,0.2083025
3.302443,1.979869,1.048691,0.7756996
1.909817,0.8111343,0.4584789,0.3795357
2.00399,0.9458828,0.3677025,0.2302408
1.55467,0.6311913,0.2400904,0.130846
3.563257,1.096853,0.5177631,0.5039673
1.455326,0.6397133,0.3309975,0.1022539
1.616501,0.6956501,0.3160515,0.1876535
1.132286,0.4257746,0.2148571,0.2168627
1.473918,-0.4132366,-0.3218689,1.869302
1.807819,0.6675959,0.3045626,0.2248917
1.533804,0.6766739,0.3124542,0.2236347
1.533131,0.7050629,0.3009739,0.2131481
1.335673,0.5630722,0.180665,0.09172153
1.586739,0.6832142,0.3005238,0.1853333
1.16931,-0.3687372,0.0900898,1.749043
1.912958,0.9060841,0.377903,0.2433424
1.5679,0.7367325,0.3128166,0.2318535
2.722099,1.594109,0.8246508,0.6558065
1.586723,0.7239208,0.2942963,0.1692734
1.448285,0.6343765,0.2389736,0.101387
1.769268,0.7549496,0.4031868,0.2521
2.602457,2.234325,-1.07607,1.294978
1.424461,0.702116,0.401495,0.1423683
1.718505,0.7242022,0.2818556,0.1266546
2.022367,0.7932339,0.4488564,0.3961611
2.155703,0.9315815,0.5168247,0.4585629
2.541594,1.219388,0.4875097,0.3744125
1.80297,0.6358624,0.2770452,0.2166471
1.23315,0.4463692,1.347443,0.3537931
2.010345,0.8685856,0.3305702,0.2212906
1.894062,0.6729374,0.348568,0.3136387
2.076105,0.9722309,0.434927,0.2830086
2.987762,1.624985,0.819931,0.6279669
1.282728,-0.2717371,0.4967375,0.4532204
2.054169,0.7123833,0.3846474,0.3409843
2.237368,0.9069767,0.4988956,0.4491615
1.641815,0.4631987,0.1829796,0.1052074
1.461167,0.6024923,0.2318106,0.1529741
2.931501,1.85726,0.5191841,1.177189
2.956564,2.122616,1.196261,0.8902922
1.451171,0.5771952,0.2159491,0.1704178
1.857397,0.8272343,0.3089056,0.2183142
1.761606,0.8196297,0.3581772,0.2434673
1.592485,0.671402,0.2918396,0.1459723
1.949957,0.781208,0.4322948,0.1379452
1.455496,0.5682392,0.2588692,0.07452583
1.407799,-0.3184013,-0.8489838,1.855412
1.684963,0.3820229,0.1717558,0.1439238
1.47051,0.6065626,0.2747936,0.1242199
1.849457,0.8893833,0.3705978,0.2463284
1.852024,0.8492603,0.3514996,0.2233467
1.75672,0.7873859,0.3607388,0.1917591
2.182688,0.939456,0.3391027,0.2209406
1.853854,0.6532259,0.3439312,0.3157969
2.815329,1.594778,0.7852297,0.6060829
1.515155,0.5987692,0.2569304,0.09770584
3.296873,1.880511,0.9056997,0.6747217
1.5114,0.2402143,0.3561945,3.824456
1.37883,0.5438566,0.2152433,0.09178829
2.510281,0.06209373,-0.2458229,0.8598366
1.68104,0.7796593,0.3175755,0.218565
1.543877,0.717701,0.3040066,0.1329231
1.324976,0.9436646,0.3048191,0.1848698
1.128672,0.4455833,0.6678076,0.06454563
1.609514,0.6976109,0.2507954,0.1761208
1.506332,0.6490297,0.2703428,0.173461
1.803686,0.9552164,0.4338608,0.3153181
1.688224,0.5263414,0.2465057,0.247262
1.735239,0.8844261,0.4576178,0.1924591
1.529408,0.7010212,0.2875109,0.2085161
1.52779,0.6995468,0.3156433,0.1965714
1.523386,0.680912,0.2963963,0.2003345
1.3141,0.6472206,0.3125992,0.2013798
2.349962,1.152393,0.4703112,0.2979183
1.431604,0.635582,0.2726326,0.1571655
1.542845,-0.1503649,-0.5263586,1.245289
1.221917,0.6992483,0.6020918,1.257221
1.971369,0.8858738,0.3306694,0.1949577
1.472029,0.6494198,0.2979021,0.1696844
1.45677,0.6169529,0.3107529,0.1355782
1.584328,0.5796309,0.2558355,0.1575031
2.02981,0.9281788,0.343771,0.2143927
0.5485687,-0.6107798,0.08063602,1.580889
3.151081,2.166187,1.100468,0.8307018
0.4811058,0.2784653,0.1147919,0.9361134
